__table_order,__table_file,__table_name,__table_row_no,指标,主样本（n=861）,敏感性样本（n=106）,说明,维度,C1 价格优惠敏感型（n=320，37.17%）,C2 文化深度体验型（n=541，62.83%）,核心问题,统计证据,游客声音,专家意见,建议方向,状态,策略维度,C1 价格优惠敏感型,C2 文化深度体验型,证据来源,假设编号,研究假设,变量,模型,预期方向,证据,结论,备注,值,假设,路径,标准化系数β,p值,象限,含义,归属项目,管理含义,重要度均值,表现度均值,差值(表现-重要),优先级,问题,量化证据,落地动作,时间节点,责任方,KPI,依赖条件,来源,意见维度,数据支撑,对应分析节点,访谈维度,内容框架,与定量结果的关联,年龄编码,年龄段,男,女,合计,占比
1,表6-1_双口径模型拟合指标对比.csv,表6-1_双口径模型拟合指标对比,1,准确率 Accuracy,0.728,0.821,整体分类正确率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,表6-1_双口径模型拟合指标对比.csv,表6-1_双口径模型拟合指标对比,2,AUC,0.554,0.796,区分能力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,表6-1_双口径模型拟合指标对比.csv,表6-1_双口径模型拟合指标对比,3,McFadden R²,0.004,0.197,伪决定系数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,表6-1_双口径模型拟合指标对比.csv,表6-1_双口径模型拟合指标对比,4,主效应整体显著性（参考Q8）,p=0.5138（不显著）,p=0.0155（显著）,按Q8到访状态项对照,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,表7-1_两类游客画像关键特征对比.csv,表7-1_两类游客画像关键特征对比,1,,,,越高越重视,重要度均值,3.791,3.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,表7-1_两类游客画像关键特征对比.csv,表7-1_两类游客画像关键特征对比,2,,,,越高体验越好,表现度均值,3.780,3.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,表7-1_两类游客画像关键特征对比.csv,表7-1_两类游客画像关键特征对比,3,,,,越高中医药认知更强,文化认知均值,3.689,3.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,表7-1_两类游客画像关键特征对比.csv,表7-1_两类游客画像关键特征对比,4,,,,越高对优惠更敏感,促销偏好计数,2.691,2.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,表7-1_两类游客画像关键特征对比.csv,表7-1_两类游客画像关键特征对比,5,,,,越高动机更丰富,到访动机计数,3.519,3.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,表7-1_两类游客画像关键特征对比.csv,表7-1_两类游客画像关键特征对比,6,,,,按聚类中心语义解释,核心特征,偏好优惠与稳定体验，对价格-品质感知敏感,偏好内容深度与文化沉浸，动机多元丰富,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,表7-1_两类游客画像关键特征对比.csv,表7-1_两类游客画像关键特征对比,7,,,,与行动矩阵联动,运营方向,折扣券、家庭套票、性价比提升,非遗体验课、定制化文化项目、深度内容,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,表7-10_问题证据建议闭环汇总.csv,表7-10_问题证据建议闭环汇总,1,,,,,,,,环境舒适度不足,IPA：②环境舒适度与卫生状况表现度低于重要度,配套设施不完善（休息区少、卫生间不便、停车位不足等）（68.95%）,标杆复核：先补体验短板，再放大文化内容。,优先整改，纳入季度KPI,ready_proxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,表7-10_问题证据建议闭环汇总.csv,表7-10_问题证据建议闭环汇总,2,,,,,,,,低认知客群转化不足,MCA：维度1负端集中低认知群体,对中医药文化、非遗项目兴趣不大（57.84%）,标杆复核：低认知客群应以低门槛触达先激活。,低门槛内容营销 + 首访激励设计,ready_proxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,表7-10_问题证据建议闭环汇总.csv,表7-10_问题证据建议闭环汇总,3,,,,,,,,深度体验供给不足,聚类：文化深度体验型动机更丰富,药膳食疗定制服务（73.40%）,标杆复核：深度体验产品需与场景叙事联动。,试点3类深度体验产品,ready_proxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,表7-10_问题证据建议闭环汇总.csv,表7-10_问题证据建议闭环汇总,4,,,,,,,,促销机制单一,聚类：价格优惠敏感型促销偏好更高,团购 / 家庭套票（73.98%）,标杆复核：促销应按客群分层定向，不宜统一投放。,分层定向促销替代均一促销,ready_proxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,表7-2_分层运营落地矩阵.csv,表7-2_分层运营落地矩阵,1,,,,,,,,,,,,,,核心产品,中药养生套餐、药膳固定菜单（以性价比组合呈现）,药膳食疗定制服务、中医药主题文化节、展演活动、非遗中药炮制技艺体验课（优先孵化）,二阶聚类画像卡 + 多选题选择率表(92-100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,表7-2_分层运营落地矩阵.csv,表7-2_分层运营落地矩阵,2,,,,,,,,,,,,,,促销机制,团购 / 家庭套票、产品/服务折扣券（优先投放）,会员积分体系、文化内容会员订阅,多选题选择率表(101-107)+行动矩阵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,表7-2_分层运营落地矩阵.csv,表7-2_分层运营落地矩阵,3,,,,,,,,,,,,,,触点设计,入口促销展示、扫码优惠弹窗,深度导览路线设计、匠人故事互动展,聚类画像语义解释 + 行动矩阵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,表7-2_分层运营落地矩阵.csv,表7-2_分层运营落地矩阵,4,,,,,,,,,,,,,,传播渠道,大众点评、美团优惠推广,小红书文化种草、B站纪录片,聚类画像语义解释,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,表7-3_研究假设汇总_H1-H8.csv,表7-3_研究假设汇总_H1-H8,1,,,,,,,,,,,,,ready,,,,,H1,年龄结构会影响深入游览行为,Q2_age_code,二元Logit,双向（不预设）,"coef=-0.074, p=0.3395, OR=0.928",需结合分组解释,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,表7-3_研究假设汇总_H1-H8.csv,表7-3_研究假设汇总_H1-H8,2,,,,,,,,,,,,,ready,,,,,H2,中医药消费习惯越强，深入游览概率越高,Q6_habit_code,二元Logit,正向,"coef=0.006, p=0.9392, OR=1.006",以实证结果为准,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,表7-3_研究假设汇总_H1-H8.csv,表7-3_研究假设汇总_H1-H8,3,,,,,,,,,,,,,ready,,,,,H3,融合模式认知越高，深入游览概率越高,Q7_knowledge_code/cognition_mean,二元Logit + MCA,正向,"coef=-0.076, p=0.3362, OR=0.927；coef=0.021, p=0.8261, OR=1.021",认知变量需与其他因子联判,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,表7-3_研究假设汇总_H1-H8.csv,表7-3_研究假设汇总_H1-H8,4,,,,,,,,,,,,,ready,,,,,H4,到访状态与深入游览显著相关,Q8_visit_status_code,二元Logit + 交叉卡方,正向,"coef=-0.052, p=0.5138, OR=0.949",方向与显著性按结果解释,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,表7-3_研究假设汇总_H1-H8.csv,表7-3_研究假设汇总_H1-H8,5,,,,,,,,,,,,,ready,,,,,H5,整体感知评价越高，深入游览概率越高,perception_mean,二元Logit,正向,"coef=0.077, p=0.4732, OR=1.080",需与表现度区分讨论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,表7-3_研究假设汇总_H1-H8.csv,表7-3_研究假设汇总_H1-H8,6,,,,,,,,,,,,,ready,,,,,H6,存在显著的游客细分画像,motive_count/new_project_pref_count/promo_pref_count,二阶聚类,存在差异,见聚类稳定性与画像卡,成立（按当前K=2方案）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,表7-3_研究假设汇总_H1-H8.csv,表7-3_研究假设汇总_H1-H8,7,,,,,,,,,,,,,ready,,,,,H7,高重要度低表现条目构成优先改进区,Q66-75 vs Q76-85,IPA,存在Q2条目,见IPA结果表与阈值敏感性表,成立（当前识别0项优先改进）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,表7-3_研究假设汇总_H1-H8.csv,表7-3_研究假设汇总_H1-H8,8,,,,,,,,,,,,,pending,,,,,H8,待补,待补,SEM,待补,待补,待补,当前仓库无SEM建模结果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,表7-4_SEM模型拟合指标.csv,表7-4_SEM模型拟合指标,1,CMIN/DF,,,,,,,,,,,,ready,,,,,,,,,,,未达标,阈值：<3.00（national_common）; optimizer=SLSQP,7.8435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,表7-4_SEM模型拟合指标.csv,表7-4_SEM模型拟合指标,2,RMSEA,,,,,,,,,,,,ready,,,,,,,,,,,未达标,阈值：<0.08（national_common）; optimizer=SLSQP,0.0892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,表7-4_SEM模型拟合指标.csv,表7-4_SEM模型拟合指标,3,CFI,,,,,,,,,,,,ready,,,,,,,,,,,未达标,阈值：>0.90（national_common）; optimizer=SLSQP,0.8409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,表7-4_SEM模型拟合指标.csv,表7-4_SEM模型拟合指标,4,TLI,,,,,,,,,,,,ready,,,,,,,,,,,未达标,阈值：>0.90（national_common）; optimizer=SLSQP,0.8137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,表7-4_SEM模型拟合指标.csv,表7-4_SEM模型拟合指标,5,SRMR,,,,,,,,,,,,ready,,,,,,,,,,,达标,阈值：<0.08（national_common）; optimizer=SLSQP,0.0798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,表7-5_SEM路径系数与显著性.csv,表7-5_SEM路径系数与显著性,1,,,,,,,,,,,,,ready,,,,,,,,,,,支持,直接路径（标准化系数）,,H1,S_env -> O_cognition,0.2754,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,表7-5_SEM路径系数与显著性.csv,表7-5_SEM路径系数与显著性,2,,,,,,,,,,,,,ready,,,,,,,,,,,支持,直接路径（标准化系数）,,H2,S_service -> O_cognition,0.3471,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,表7-5_SEM路径系数与显著性.csv,表7-5_SEM路径系数与显著性,3,,,,,,,,,,,,,ready,,,,,,,,,,,支持,直接路径（标准化系数）,,H3,S_activity -> O_cognition,0.2192,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,表7-5_SEM路径系数与显著性.csv,表7-5_SEM路径系数与显著性,4,,,,,,,,,,,,,ready,,,,,,,,,,,不支持,直接路径（标准化系数）,,H4,O_cognition -> R_visit,-0.3760,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,表7-5_SEM路径系数与显著性.csv,表7-5_SEM路径系数与显著性,5,,,,,,,,,,,,,ready,,,,,,,,,,,不支持,直接路径（标准化系数）,,H5,O_cognition -> R_recommend,-0.3360,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,表7-5_SEM路径系数与显著性.csv,表7-5_SEM路径系数与显著性,6,,,,,,,,,,,,,ready,,,,,,,,,,,中介显著,bootstrap=2000;success=2000;fail=0,,H6,S_env -> O -> R,indirect=-0.1036,"p_boot=0.0000;95%CI=[-0.1467,-0.0656]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,表7-5_SEM路径系数与显著性.csv,表7-5_SEM路径系数与显著性,7,,,,,,,,,,,,,ready,,,,,,,,,,,中介显著,bootstrap=2000;success=2000;fail=0,,H7,S_service -> O -> R,indirect=-0.1166,"p_boot=0.0000;95%CI=[-0.1837,-0.0644]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,表7-5_SEM路径系数与显著性.csv,表7-5_SEM路径系数与显著性,8,,,,,,,,,,,,,ready,,,,,,,,,,,中介显著,bootstrap=2000;success=2000;fail=0,,H8,S_activity -> O -> R,indirect=-0.0736,"p_boot=0.0000;95%CI=[-0.1135,-0.0381]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,表7-6_IPA四象限归属汇总_均值阈值.csv,表7-6_IPA四象限归属汇总_均值阈值,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2_优先改进,高重要·低表现,,立即整改，重点资源投入,,,,,,,,,,,,,,,,,,,,,,,,
8,表7-6_IPA四象限归属汇总_均值阈值.csv,表7-6_IPA四象限归属汇总_均值阈值,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1_保持优势,高重要·高表现,①丰富的中医药文化展示和非遗体验项目、⑥提供个性化中医体质辨识、养生咨询等服务、⑦服务专业度与态度、⑨中医药服务专业度,维持现有水平，防止退化,3.785,3.712,-0.073,,,,,,,,,,,,,,,,,,,,,
8,表7-6_IPA四象限归属汇总_均值阈值.csv,表7-6_IPA四象限归属汇总_均值阈值,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3_低优先级,低重要·低表现,②环境舒适度与卫生状况、③便捷的交通、充足的停车位、⑤特色美食、文创产品的种类及品质,按需投入，不宜过度资源,3.734,3.636,-0.098,,,,,,,,,,,,,,,,,,,,,
8,表7-6_IPA四象限归属汇总_均值阈值.csv,表7-6_IPA四象限归属汇总_均值阈值,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4_可能过度投入,低重要·高表现,④亲友推荐/正面评价多、⑧产品价格与优惠力度、⑩线上线下宣传推广,适度削减，资源转移至Q2,3.704,3.714,0.010,,,,,,,,,,,,,,,,,,,,,
9,表7-7_IPA整改行动清单.csv,表7-7_IPA整改行动清单,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1（立即）,新增项目需求集中于：药膳食疗定制服务,选择率73.40%（632/861）,优先开发该类中医药文旅产品，做小规模A/B试点后扩容。,1-4个月,活动策划部,新项目参与率>=30%,预算审批+跨部门协同,建议落地行动矩阵 + 问题-证据-建议对照表,,,,,,,,,,,,
9,表7-7_IPA整改行动清单.csv,表7-7_IPA整改行动清单,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2（同步）,新增项目需求集中于：中医药主题文化节、展演活动,选择率57.96%（499/861）,优先开发该类中医药文旅产品，做小规模A/B试点后扩容。,1-4个月,活动策划部,新项目参与率>=30%,预算审批+跨部门协同,建议落地行动矩阵 + 问题-证据-建议对照表,,,,,,,,,,,,
9,表7-7_IPA整改行动清单.csv,表7-7_IPA整改行动清单,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P3（同步）,新增项目需求集中于：非遗中药炮制技艺体验课,选择率54.01%（465/861）,优先开发该类中医药文旅产品，做小规模A/B试点后扩容。,1-4个月,活动策划部,新项目参与率>=30%,预算审批+跨部门协同,建议落地行动矩阵 + 问题-证据-建议对照表,,,,,,,,,,,,
9,表7-7_IPA整改行动清单.csv,表7-7_IPA整改行动清单,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P4（后续）,优惠机制偏好集中于：团购 / 家庭套票,选择率73.98%（637/861）,将高偏好优惠形式与核心产品绑定，提升转化和复游。,0-2个月,品牌营销中心,优惠活动核销率>=20%,预算审批+跨部门协同,建议落地行动矩阵 + 问题-证据-建议对照表,,,,,,,,,,,,
9,表7-7_IPA整改行动清单.csv,表7-7_IPA整改行动清单,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P4（后续）,优惠机制偏好集中于：产品/服务折扣券,选择率53.66%（462/861）,将高偏好优惠形式与核心产品绑定，提升转化和复游。,0-2个月,品牌营销中心,优惠活动核销率>=20%,预算审批+跨部门协同,建议落地行动矩阵 + 问题-证据-建议对照表,,,,,,,,,,,,
9,表7-7_IPA整改行动清单.csv,表7-7_IPA整改行动清单,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P4（后续）,优惠机制偏好集中于：餐饮套餐优惠,选择率44.13%（380/861）,将高偏好优惠形式与核心产品绑定，提升转化和复游。,0-2个月,品牌营销中心,优惠活动核销率>=20%,预算审批+跨部门协同,建议落地行动矩阵 + 问题-证据-建议对照表,,,,,,,,,,,,
10,表7-8_游客意见三维汇总.csv,表7-8_游客意见三维汇总,1,,,,,,,,配套设施不完善、指示标识不清晰、价格品质感知落差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,体验端短板,配套设施不完善（休息区少、卫生间不便、停车位不足等）（68.95%）；指示标识不清晰（找不到景点、体验区等）（62.40%）；美食/文创/保健品价格偏高、品质不符预期（55.25%）,6.1痛点 + IPA Q2象限,,,,,,,,,
10,表7-8_游客意见三维汇总.csv,表7-8_游客意见三维汇总,2,,,,,,,,认为街区缺乏吸引力、兴趣不大（未到访群体）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,认知端壁垒,对中医药文化、非遗项目兴趣不大（57.84%）；认为街区缺乏吸引力（40.20%）,6.1阻碍 + 6.2 MCA维度1,,,,,,,,,
10,表7-8_游客意见三维汇总.csv,表7-8_游客意见三维汇总,3,,,,,,,,新增深度体验内容与优惠组合机制,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,需求端期待,药膳食疗定制服务（73.40%）；中医药主题文化节、展演活动（57.96%）；非遗中药炮制技艺体验课（54.01%）；团购 / 家庭套票（73.98%）；产品/服务折扣券（53.66%）,7.1聚类矩阵 + 7.3 IPA行动清单,,,,,,,,,
11,表7-9_专家意见整合框架.csv,表7-9_专家意见整合框架,1,,,,,,,,,,,,,ready_proxy,,,,,,,,,,,,标杆代理口径（非真实访谈）,,,,,,,,,,,,,,,,,,,,,,,,,专家背景,代理专家组（文旅运营/文化传播/服务管理）基于两份国奖案例结构复核形成共识意见。,与本项目描述统计、MCA、聚类、IPA、SEM结果交叉印证,,,,,,
11,表7-9_专家意见整合框架.csv,表7-9_专家意见整合框架,2,,,,,,,,,,,,,ready_proxy,,,,,,,,,,,,标杆代理口径（非真实访谈）,,,,,,,,,,,,,,,,,,,,,,,,,核心判断,当前高质量发展首要约束为：②环境舒适度与卫生状况、⑨中医药服务专业度，应优先进入季度整改闭环。,对应IPA优先项 + 游客问题证据,,,,,,
11,表7-9_专家意见整合框架.csv,表7-9_专家意见整合框架,3,,,,,,,,,,,,,ready_proxy,,,,,,,,,,,,标杆代理口径（非真实访谈）,,,,,,,,,,,,,,,,,,,,,,,,,机制解释,机制层面显示：H1:S_env -> O_cognition（支持）；H2:S_service -> O_cognition（支持）；H3:S_activity -> O_cognition（支持）。,对应SEM路径 + Logit方向结果,,,,,,
11,表7-9_专家意见整合框架.csv,表7-9_专家意见整合框架,4,,,,,,,,,,,,,ready_proxy,,,,,,,,,,,,标杆代理口径（非真实访谈）,,,,,,,,,,,,,,,,,,,,,,,,,政策建议,建议优先推进：①优先开发该类中医药文旅产品，做小规模A/B试点后扩容。（1-4个月）；优先开发该类中医药文旅产品，做小规模A/B试点后扩容。（1-4个月）；优先开发该类中医药文旅产品，做小规模A/B试点后扩容。（1-4个月）,对应行动矩阵与问题-证据-建议闭环,,,,,,
12,年龄性别分布_频数表.csv,年龄性别分布_频数表,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18岁以下,18,18,36,4.18%
12,年龄性别分布_频数表.csv,年龄性别分布_频数表,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18-25岁,159,155,314,36.47%
12,年龄性别分布_频数表.csv,年龄性别分布_频数表,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26-45岁,141,137,278,32.29%
12,年龄性别分布_频数表.csv,年龄性别分布_频数表,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,46-64岁,75,77,152,17.65%
12,年龄性别分布_频数表.csv,年龄性别分布_频数表,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,65岁及以上,49,32,81,9.41%
